año;departamento;municipio;total;total H;total M;total indet;cabecera municipal H;cabecera municipal M;cebecera municipal indet;centro poblado H;centro poblado M;centro poblado indet;rural disperso H;rural disperso M;rural disperso indet;sin info H;sin info M;sin info indet
2009;antioquia;total;85.955;44.173;41.782;0,00;33.222;31.279;0,00;3.249;3.032;0,00;6.393;6.137;0,00;1.309;1.334;0,00
2009;antioquia;MEDELLÍN;31.893;16.334;15.559;0,00;15.871;15.141;0,00;210;208;0,00;126;101;0,00;127;109;0,00
2009;antioquia;ABEJORRAL;271;137;134;0,00;50;43;0,00;9;5;0,00;67;74;0,00;11;12;0,00
2009;antioquia;ABRIAQUÍ;21;11;10;0,00;4;6;0,00;1;1;0,00;6;3;0,00;0;0;0,00
2009;antioquia;ALEJANDRÍA;44;17;27;0,00;4;14;0,00;0;0;0,00;13;11;0,00;0;2;0,00
2009;antioquia;AMAGÁ;354;173;181;0,00;73;97;0,00;37;33;0,00;55;42;0,00;8;9;0,00
2009;antioquia;AMALFI;404;205;199;0,00;104;83;0,00;7;7;0,00;92;107;0,00;2;2;0,00
2009;antioquia;ANDES;594;301;293;0,00;3,00;117;0,00;82;58;0,00;83;102;0,00;15;16;0,00
2009;antioquia;ÁNGELÓPOLIS;73;39;34;0,00;15;14;0,00;8;10;0,00;15;8;0,00;1;2;0,00
2009;antioquia;ANGOSTURA;160;90;70;0,00;14;14;0,00;0;1;0,00;70;51;0,00;6;4;0,00
2009;antioquia;ANORÍ;278;159;119;0,00;74;60;0,00;5;4;0,00;72;49;0,00;8;6;0,00
2009;antioquia;SANTAFÉ DE ANTIOQUIA;330;166;164;0,00;88;83;0,00;4;5;0,00;65;72;0,00;9;4;0,00
2009;antioquia;ANZÁ;122;56;66;0,00;13;6;0,00;14;22;0,00;24;34;0,00;5;4;0,00
2009;antioquia;APARTADÓ;2.573;1.356;1.217;0,00;1.150;1.044;0,00;89;61;0,00;89;77;0,00;28;35;0,00
2009;antioquia;ARBOLETES;422;220;202;0,00;102;110;0,00;44;26;0,00;59;49;0,00;15;17;0,00
2009;antioquia;ARGELIA;140;70;70;0,00;32;30;0,00;0;0;0,00;37;40;0,00;1;0;0,00
2009;antioquia;ARMENIA;60;34;26;0,00;6;6;0,00;12;15;0,00;15;4;0,00;1;1;0,00
2009;antioquia;BARBOSA;563;271;292;0,00;127;128;0,00;33;32;0,00;106;122;0,00;5;10;0,00
2009;antioquia;BELMIRA;70;29;41;0,00;11;14;0,00;3;3;0,00;15;24;0,00;0;0;0,00
2009;antioquia;BELLO;5.156;2.696;2.460;0,00;2.595;2.357;0,00;19;16;0,00;55;42;0,00;27;45;0,00
2009;antioquia;BETANIA;154;78;76;0,00;41;33;0,00;0;2;0,00;33;36;0,00;4;5;0,00
2009;antioquia;BETULIA;285;150;135;0,00;38;50;0,00;13;13;0,00;93;64;0,00;6;8;0,00
2009;antioquia;CIUDAD BOLÍVAR;504;263;241;0,00;146;135;0,00;18;26;0,00;84;71;0,00;15;9;0,00
2009;antioquia;BRICEÑO;160;84;76;0,00;26;19;0,00;7;8;0,00;49;48;0,00;2;1;0,00
2009;antioquia;BURITICÁ;114;51;63;0,00;7;12;0,00;10;10;0,00;33;39;0,00;1;2;0,00
2009;antioquia;CÁCERES;667;346;321;0,00;138;130;0,00;127;126;0,00;67;55;0,00;14;10;0,00
2009;antioquia;CAICEDO;120;64;56;0,00;10;19;0,00;6;7;0,00;44;29;0,00;4;1;0,00
2009;antioquia;CALDAS;908;483;425;0,00;349;313;0,00;57;49;0,00;62;52;0,00;15;11;0,00
2009;antioquia;CAMPAMENTO;128;66;62;0,00;16;11;0,00;14;7;0,00;34;43;0,00;2;1;0,00
2009;antioquia;CAÑASGORDAS;182;94;88;0,00;33;28;0,00;14;14;0,00;47;42;0,00;0;4;0,00
